,name,code,product,kind,date,month,represent,region
0, 산일전기,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,박동석,경기도
1, 에이치에스효성,487570,기타 금융업,지주사업,2024-07-29,12월,조현상..,서울특별시
2, 엔에이치스팩31호,481890,금융 지원 서비스업,금융지원서비스업,2024-07-26,12월,이시형,서울특별시
3, SK증권제13호스팩,473950,금융 지원 서비스업,기업인수목적 주식회사,2024-07-25,12월,임율표,서울특별시
4, 엑셀세라퓨틱스,373110,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지),2024-07-15,12월,이의일,서울특별시
5, 이베스트스팩6호,478110,금융 지원 서비스업,기업인수목적 주식회사,2024-07-12,12월,박용,서울특별시
6, 시프트업,462870,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,서울특별시
7, 하스,450330,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관",2024-07-03,12월,김용수,강원특별자치도
8, 이노스페이스,462350,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역",2024-07-02,12월,김수종,세종특별자치시
9, 신한글로벌액티브리츠,481850,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,02월,김선영,서울특별시
10, 에이치브이엠,295310,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,경기도
11, 팡스카이,266350,소프트웨어 개발 및 공급업,게임 개발 및 리퍼블리싱,2024-06-28,12월,조호현..,서울특별시
12, 하이젠알앤엠,160190,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)",2024-06-27,12월,김재학,경상남도
13, 한국제15호스팩,479880,금융 지원 서비스업,기업인수합병,2024-06-26,12월,유한,서울특별시
14, 에스오에스랩,464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",산업용 및 차량용 라이다(LiDAR),2024-06-25,12월,정지성,광주광역시
15, 미래에셋비전스팩6호,478440,금융 지원 서비스업,기업인수합병,2024-06-24,12월,정명훈,서울특별시
16, 에이치엠씨제7호스팩,477340,금융 지원 서비스업,기타금융,2024-06-24,12월,강신명,서울특별시
17, 파라다이스,034230,유원지 및 기타 오락관련 서비스업,"카지노, 호텔, 복합리조트",2024-06-24,12월,최종환..,서울특별시
18, 한중엔시에스,107640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수냉식 냉각시스템 ESS Parts, 공랭식 ESS Module Parts, EV Module 및 내연기관 Parts",2024-06-24,12월,김환식,경상북도
19, KB제29호스팩,478390,금융 지원 서비스업,기업인수합병,2024-06-21,12월,서영화,서울특별시
20, 미래에셋비전스팩5호,477470,금융 지원 서비스업,기업인수합병,2024-06-19,12월,김대호,서울특별시
21, 씨어스테크놀로지,458870,의료용 기기 제조업,심전도검사솔루션 입원환자모니터링솔루션,2024-06-19,12월,이영신,경기도
22, 한국제14호스팩,477530,금융 지원 서비스업,기업인수합병,2024-06-19,12월,변성환,서울특별시
23, 디비금융스팩12호,477760,기타 금융업,기업인수 및 합병,2024-06-18,12월,김창희,서울특별시
24, 라메디텍,462510,의료용 기기 제조업,초소형 레이저 의료기기  및 미용기기,2024-06-17,12월,최종석,서울특별시
25, 그리드위즈,453450,"그외 기타 전문, 과학 및 기술 서비스업","수요관리 서비스, 전기차 충전기 모뎀 등",2024-06-14,12월,김구환,경기도
26, 다원넥스뷰,323350,사진장비 및 광학기기 제조업,LSMB(Laser Micro Bonding System),2024-06-11,12월,남기중,경기도
27, 미래에셋비전스팩4호,477380,금융 지원 서비스업,기업인수목적회사(기타금융서비스),2024-05-29,12월,김정수,서울특별시
28, 노브랜드,145170,편조의복 제조업,"Knit, Woven 의류",2024-05-23,12월,이상규,서울특별시
29, KB제28호스팩,476470,금융 지원 서비스업,기업인수합병,2024-05-17,12월,고광범,서울특별시
30, 아이씨티케이,456010,반도체 제조업,"PUF반도체,보안솔루션(보안반도체,정보통신모듈기기,정보통신용반도체) 제조,개발",2024-05-17,12월,이정원,서울특별시
31, HD현대마린솔루션,443060,"건축기술, 엔지니어링 및 관련 기술 서비스업","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어",2024-05-08,12월,이기동,부산광역시
32, SK증권제12호스팩,473000,금융 지원 서비스업,기업인수목적 주식회사,2024-05-07,12월,이재혁,서울특별시
33, 코칩,126730,전자부품 제조업,소형 및 초소형 슈퍼커패시터,2024-05-07,12월,손진형,경기도
34, 민테크,452200,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","배터리 진단시스템, 배터리 시스템, 충방전 검사장비",2024-05-03,12월,홍영진,대전광역시
35, 카티스,140430,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",산업인프라 보안플랫폼,2024-05-03,12월,김승수,경기도
36, 디앤디파마텍,347850,자연과학 및 공학 연구개발업,대사성질환 치료제 등,2024-05-02,12월,이슬기,경기도
37, 유안타제16호스팩,474490,금융 지원 서비스업,금융 지원 서비스(기업인수목적회사),2024-05-02,12월,박병권,서울특별시
38, 제일엠앤에스,412540,특수 목적용 기계 제조업,2차전지 믹싱시스템,2024-04-30,12월,이영진,경기도
39, 삐아,451250,기타 화학제품 제조업,색조화장품,2024-04-25,12월,박광춘,인천광역시
40, 하나33호스팩,475250,금융 지원 서비스업,기업인수합병,2024-04-24,12월,박태한,서울특별시
41, 신한제13호스팩,474930,금융 지원 서비스업,기타금융서비스(기업합병),2024-04-22,12월,배성환,서울특별시
42, 신한제12호스팩,474660,금융 지원 서비스업,금융서비스(기업인수목적회사),2024-04-15,12월,이동호,서울특별시
43, 아이엠비디엑스,461030,자연과학 및 공학 연구개발업,"알파리퀴드ⓡ 100, 알파리퀴드ⓡ HRR, 알파리퀴드ⓡ 디텍트, 알파리퀴드ⓡ 스크리닝",2024-04-03,12월,김태유,서울특별시
44, SK이터닉스,475150,건물 건설업,부동산 개발,2024-03-29,12월,김해중,경기도
45, 하나32호스팩,475240,금융 지원 서비스업,기업인수합병,2024-03-27,12월,박종찬,서울특별시
46, 엔젤로보틱스,455900,특수 목적용 기계 제조업,"재활 전문 웨어러블 로봇, 근력 보조 무동력 웨어러블 슈트, 일상생활 보조 웨어러블 로봇 등",2024-03-26,12월,공경철,서울특별시
47, 제이투케이바이오,420570,기타 화학제품 제조업,화장품 원료(천연소재 바이오소재 등),2024-03-25,12월,이재섭,충청북도
48, 삼현,437730,자동차 신품 부품 제조업,"스마트 액추에이터, 스마트 파워유닛",2024-03-21,12월,황성호,경상남도
49, 오상헬스케어,036220,의료용품 및 기타 의약 관련제품 제조업,"생화학 측정기 및 센서, 면역진단기기 및 마커, 분자진단기기 및 시약 등",2024-03-13,12월,강철훈,경기도
50, 케이엔알시스템,199430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","특수목적 시험장비, 산업용로봇",2024-03-07,12월,김명한,경기도
51, 비엔케이제2호스팩,473370,금융 지원 서비스업,금융 지원 서비스업,2024-03-05,12월,정민중,서울특별시
52, 하나31호스팩,469900,금융 지원 서비스업,기업인수합병,2024-03-05,12월,한규정,서울특별시
53, SK증권제11호스팩,472230,금융 지원 서비스업,기업인수목적 주식회사,2024-03-04,12월,최상우,서울특별시
54, 유안타제15호스팩,473050,금융 지원 서비스업,금융 지원 서비스,2024-02-29,12월,구태훈,서울특별시
55, 유진스팩10호,468760,금융 지원 서비스업,기업인수합병,2024-02-29,12월,김동진,서울특별시
56, 에이피알,278470,기타 화학제품 제조업,"화장품, 피부미용기기 등",2024-02-27,12월,김병훈,서울특별시
57, 이에이트,418620,소프트웨어 개발 및 공급업,"CFD 시뮬레이션 소프트웨어, 디지털트윈 플랫폼",2024-02-23,12월,김진현,서울특별시
58, 코셈,360350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",주사전자현미경(SEM),2024-02-23,12월,이준희,대전광역시
59, 케이웨더,068100,일반 목적용 기계 제조업,"공기개선솔루션, 기상데이터, 공기측정솔루션 등",2024-02-22,12월,김동식,서울특별시
60, 사피엔반도체,452430,반도체 제조업,Micro/Mini-LED Display Driver IC,2024-02-19,12월,이명희,경기도
61, 에스피소프트,443670,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SPLA 라이센스 총판 사업,CLOUD, gDaaS 등",2024-02-15,12월,이은재,서울특별시
62, 스튜디오삼익,415380,기타 생활용품 소매업,"침실가구, 거실가구,  옷장/수납, 주방가구 등",2024-02-06,12월,최정석,서울특별시
63, 신영스팩10호,472220,금융 지원 서비스업,기업인수합병,2024-02-06,12월,여지우,서울특별시
64, 폰드그룹,472850,봉제의복 제조업,"의류(언더웨어, 의복, 잡화, 코스메틱 등)",2024-02-02,12월,임종민..,서울특별시
65, IBKS제24호스팩,469480,금융 지원 서비스업,금융 지원 서비스업,2024-02-01,12월,김강민,서울특별시
66, 레이저옵텍,199550,의료용 기기 제조업,레이저 기반 피부미용기기 및 질환치료기기,2024-02-01,12월,"주홍,..",경기도
67, 이닉스,452400,자동차 신품 부품 제조업,2차전지용 배터리셀 패드 등,2024-02-01,12월,강동호..,부산광역시
68, 엘앤에프,066970,일차전지 및 이차전지 제조업,이차전지 양극활물질,2024-01-29,12월,최수안,대구광역시
69, 포스뱅크,105760,일반 목적용 기계 제조업,"POS 단말기, KIOSK 단말기",2024-01-29,12월,은동욱,서울특별시
70, 현대힘스,460930,선박 및 보트 건조업,"선박기자재 (선박 블록, 보강재, 도장 등)",2024-01-26,12월,최지용,울산광역시
71, HB인베스트먼트,440290,기타 금융업,벤처투자조합 등 조합 결성 및 운영,2024-01-25,12월,황유선,서울특별시
72, 드림인사이트,362990,광고업,광고대행,2024-01-25,12월,김기철,서울특별시
73, 대신밸런스제17호스팩,471050,금융 지원 서비스업,금융 지원 서비스업,2024-01-24,12월,이문수,서울특별시
74, 우진엔텍,457550,"그외 기타 전문, 과학 및 기술 서비스업",발전소 계측제어설비 정비 서비스,2024-01-24,12월,신상연,경기도
75, 세븐브로이맥주,267080,알코올음료 제조업,맥주 등 주류 및 음료,2024-01-17,12월,김강삼,강원특별자치도
76, 한빛레이저,452190,특수 목적용 기계 제조업,산업용 레이저 가공장비,2024-01-04,12월,김정묵,대전광역시
77, 포스코DX,022100,"건축기술, 엔지니어링 및 관련 기술 서비스업",EIC 자동화 엔지니어링 및 IT서비스,2024-01-02,12월,정덕균,경상북도
78, DS단석,017860,기타 화학제품 제조업,바이오에너지,2023-12-22,12월,한승욱,경기도
79, IBKS제23호스팩,467930,금융 지원 서비스업,기업인수 및 합병,2023-12-22,12월,오창수,서울특별시
80, 하나30호스팩,469880,금융 지원 서비스업,기업인수합병,2023-12-22,12월,전신웅,서울특별시
81, 씨싸이트,109670,봉제의복 제조업,니트류 OEM,2023-12-21,12월,김상기,서울특별시
82, 블루엠텍,439580,기타 전문 도매업,의약품 유통업,2023-12-13,12월,김현수,경기도
83, LS머트리얼즈,417200,전자부품 제조업,울트라커패시터(셀 및 모듈),2023-12-12,12월,홍영호,경기도
84, 케이엔에스,432470,특수 목적용 기계 제조업,이차전지 자동화 설비,2023-12-06,12월,정봉진,경기도
85, 교보15호스팩,465320,금융 지원 서비스업,기업인수합병,2023-12-05,12월,김상도,서울특별시
86, 와이바이오로직스,338840,자연과학 및 공학 연구개발업,항체의약품 및 항체후보물질 연구개발,2023-12-05,12월,박영우..,대전광역시
87, 삼성스팩9호,468510,금융 지원 서비스업,기업인수합병,2023-12-04,12월,오정헌,서울특별시
88, 에이텀,355690,전자부품 제조업,평판형 트랜스,2023-12-01,06월,한택수,경기도
89, 엔에이치스팩30호,466910,금융 지원 서비스업,금융지원서비스업,2023-12-01,12월,조선희,서울특별시
90, 에이에스텍,453860,기타 화학제품 제조업,자외선 차단제 유기 원료,2023-11-28,12월,윤종배..,충청남도
91, 그린리소스,402490,반도체 제조업,반도체 및 디스플레이 장비 보호코팅 및 소재,2023-11-24,12월,이종수..,인천광역시
92, 제이엔비,452160,특수 목적용 기계 제조업,"진공 펌프용 유틸리티 장치(Stacker 등), 정밀가공 부품",2023-11-24,12월,이정범,경기도
93, 한선엔지니어링,452280,기타 금속 가공제품 제조업,"계장용 피팅 및 밸브, 모듈",2023-11-24,12월,이제훈,부산광역시
94, 동인기연,111380,"가죽, 가방 및 유사제품 제조업","스포츠용품(등산용가방,골프백),금속압형제품,유아용품 제조,도소매,통신 판매/부동산 임대",2023-11-21,12월,정인수,경기도
95, 에코아이,448280,기타 전문 서비스업,탄소배출권 및 탄소배출권 관련 컨설팅,2023-11-21,12월,이수복,서울특별시
96, 스톰테크,352090,플라스틱제품 제조업,"정수기 피팅, 밸브, 파우셋 등 부품",2023-11-20,12월,강기환..,서울특별시
97, 에코프로머티,450080,일차전지 및 이차전지 제조업,배터리 양극재용 핵심소재 하이니켈 전구체,2023-11-17,12월,김병훈,경상북도
98, 캡스톤파트너스,452300,기타 금융업,벤처투자조합 등 조합 결성 및 운영,2023-11-15,12월,송은강,서울특별시
99, 프로젠,296160,자연과학 및 공학 연구개발업,바이오의약품,2023-11-15,12월,김종균,서울특별시
100, 에스와이스틸텍,365330,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크플레이트,2023-11-13,12월,홍성균,충청북도
101, 에이직랜드,445090,반도체 제조업,"비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등",2023-11-13,12월,이종민,경기도
102, 한국제13호스팩,464440,금융 지원 서비스업,기업인수합병,2023-11-13,12월,김장하,서울특별시
103, 메가터치,446540,일차전지 및 이차전지 제조업,"배터리 핀, 반도체 핀",2023-11-09,12월,윤재홍,충청남도
104, 비아이매트릭스,413640,소프트웨어 개발 및 공급업,로우코드 기반 코딩 자동화 솔루션 등,2023-11-09,12월,배영근..,서울특별시
105, 컨텍,451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",2023-11-09,12월,이성희,대전광역시
106, 큐로셀,372320,자연과학 및 공학 연구개발업,CAR-T 세포치료제,2023-11-09,12월,김건수,대전광역시
107, 쏘닉스,088280,반도체 제조업,RF필터 파운드리,2023-11-07,12월,양형국,경기도
108, KB제27호스팩,464680,금융 지원 서비스업,기업인수합병,2023-11-03,12월,이태영,서울특별시
109, 세니젠,188260,그외 기타 제품 제조업,"Genelix, Genext, Geneka 등",2023-11-03,12월,박정웅,경기도
110, 신시웨이,290560,소프트웨어 개발 및 공급업,DB보안솔루션 등,2023-11-03,12월,정재훈..,서울특별시
111, 유진테크놀로지,240600,기타 금속 가공제품 제조업,이차전지 정밀금형 외,2023-11-02,12월,여현국..,충청북도
112, 유투바이오,221800,기타 과학기술 서비스업,"체외진단검사서비스, 의료IT솔루션",2023-11-02,12월,김진태,서울특별시
113, 퀄리타스반도체,432720,반도체 제조업,초고속 통신용 반도체 IP,2023-10-27,12월,김두호,경기도
114, 미쥬,351020,봉제의복 제조업,"여성의류, 골프의류 등",2023-10-26,12월,황승주,서울특별시
115, 워트,396470,특수 목적용 기계 제조업,초정밀 온습도 제어장비,2023-10-26,12월,박승배,경기도
116, 에스엘에스바이오,246250,"그외 기타 전문, 과학 및 기술 서비스업","의약품 품질관리, 신약개발지원, 체외진단기기",2023-10-20,12월,이영태,경기도
117, 신성에스티,416180,자동차 신품 부품 제조업,전기차/2차전지 Busbar 및 배터리모듈 보호 부품 등,2023-10-19,12월,안병두,경상남도
118, 퓨릿,445180,기초 화학물질 제조업,"반도체용 케미컬, 디스플레이용 케미컬, 산업용 케미컬",2023-10-18,12월,문재웅,경상북도
119, 바이오텐,289170,기타 식품 제조업,"일반식품, 건강기능식품, 보조사료",2023-10-13,12월,김영철,전북특별자치도
120, 에이치엠씨제6호스팩,462020,금융 지원 서비스업,합병,2023-10-13,12월,한웅,서울특별시
121, 아이엠티,451220,특수 목적용 기계 제조업,건식세정 장비 및 EUV Mask Baking Laser,2023-10-10,12월,최재성,경기도
122, 레뷰코퍼레이션,443250,광고업,"REVU 서비스(컨텐츠마케팅, 로컬, 에이전시)",2023-10-06,12월,장대규,서울특별시
123, 두산로보틱스,454910,특수 목적용 기계 제조업,협동로봇,2023-10-05,12월,류정훈..,경기도
124, 신한제11호스팩,452980,금융 지원 서비스업,금융서비스(기업인수목적 회사),2023-10-04,12월,오정훈,서울특별시
125, 한싹,430690,소프트웨어 개발 및 공급업,망간자료전송,2023-10-04,12월,이주도,서울특별시
126, 밀리의서재,418470,"서적, 잡지 및 기타 인쇄물 출판업",전자책 정기구독 서비스,2023-09-27,12월,박현진,서울특별시
127, 인스웨이브시스템즈,450520,소프트웨어 개발 및 공급업,"UI/UX 개발 솔루션, 엔터프라이즈 DX 솔루션, 금융 단말 솔루션 등",2023-09-25,12월,어세룡,서울특별시
128, 우듬지팜,403490,"과실, 채소 가공 및 저장 처리업","스테비아 토마토, 대추방울 토마토, 완숙 토마토 등",2023-09-19,12월,김호연..,충청남도
129, 코어라인소프트,384470,소프트웨어 개발 및 공급업,의료영상 진단보조 솔루션,2023-09-18,12월,김진국,서울특별시
130, STX그린로지스,465770,해상 운송업,해상운송업 및 물류업,2023-09-15,12월,이우형,부산광역시
131, 상상인제4호스팩,452670,금융 지원 서비스업,합병,2023-09-14,12월,양범,서울특별시
132, 율촌,146060,1차 철강 제조업,냉간인발강관(파이프),2023-09-08,12월,이흥해..,경기도
133, 한화플러스제4호스팩,455310,금융 지원 서비스업,-,2023-09-07,12월,김민철,서울특별시
134, 대신밸런스제16호스팩,457630,금융 지원 서비스업,기타 금융서비스업,2023-09-04,12월,정재중,서울특별시
135, 유안타제11호스팩,444920,금융 지원 서비스업,금융 지원 서비스업,2023-09-01,12월,임원현,서울특별시
136, 크라우드웍스,355390,소프트웨어 개발 및 공급업,인공지능 데이터 구축 서비스,2023-08-31,12월,김우승,서울특별시
137, 대신밸런스제15호스팩,457390,금융 지원 서비스업,금융 지원 서비스업,2023-08-30,12월,신진호,서울특별시
138, 한국제12호스팩,458610,금융 지원 서비스업,기업인수합병,2023-08-30,12월,이연경,서울특별시
139, 한국피아이엠,448900,자동차 신품 부품 제조업,정밀 금속가공 부품,2023-08-30,12월,송준호,대구광역시
140, 시큐레터,418250,소프트웨어 개발 및 공급업,"SLE(이메일 보안), SLF(파일 보안)",2023-08-24,12월,임차성,경기도
141, 스마트레이더시스템,424960,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",모빌리티 및 비모빌리티용 4D이미징레이다,2023-08-22,12월,김용환,경기도
142, 넥스틸,092790,1차 철강 제조업,"OCTG Pipe, Line Pipe, Standard Pipe, 일반관",2023-08-21,12월,홍성만,경상북도
143, 빅텐츠,210120,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상 제작, 공급",2023-08-17,12월,조윤정,서울특별시
144, SK증권제10호스팩,457940,금융 지원 서비스업,기업인수합병,2023-08-11,12월,장희정,서울특별시
145, KB제26호스팩,458320,금융 지원 서비스업,기업인수목적,2023-08-10,12월,주우식,서울특별시
146, 코츠테크놀로지,448710,컴퓨터 및 주변장치 제조업,"싱글보드컴퓨터(SBC), 군용 전시기 등",2023-08-10,12월,조지원,경기도
147, 큐리옥스바이오시스템즈,445680,의료용 기기 제조업,세포 전처리 자동화기기 등,2023-08-10,12월,김남용,서울특별시
148, 하나28호스팩,454750,금융 지원 서비스업,기업인수합병,2023-08-10,12월,오동호,서울특별시
149, NICE평가정보,030190,기타 정보 서비스업,"개인 및 기업정보, 솔루션",2023-08-08,12월,신희부,서울특별시
150, 파두,440110,반도체 제조업,SSD 컨트롤러,2023-08-07,12월,이지효..,서울특별시
151, 엠아이큐브솔루션,373170,소프트웨어 개발 및 공급업,"스마트팩토리 솔루션, 제조지능화 솔루션",2023-08-04,12월,박문원..,서울특별시
152, 시지트로닉스,429270,반도체 제조업,특화반도체 소자,2023-08-03,12월,심규환..,전북특별자치도
153, 에피바이오텍,446440,자연과학 및 공학 연구개발업,탈모 치료제,2023-07-31,12월,성종혁,인천광역시
154, 조선내화,462520,"내화, 비내화 요업제품 제조업",내화 요업제품,2023-07-28,12월,이상암,전라남도
155, 에이엘티,172670,반도체 제조업,반도체 테스트 및 패키징(반도체 후공정),2023-07-27,12월,이덕형,충청북도
156, 유안타제14호스팩,450940,금융 지원 서비스업,금융 지원 서비스,2023-07-27,12월,엄수열,서울특별시
157, 파로스아이바이오,388870,자연과학 및 공학 연구개발업,PHI-101 급성골수성백혈병 치료제 및 재발성난소암 치료제,2023-07-27,12월,윤정혁,경기도
158, 길교이앤씨,456700,"건축기술, 엔지니어링 및 관련 기술 서비스업",강합성 라멘교,2023-07-26,12월,김선동,경상북도
159, 버넥트,438700,소프트웨어 개발 및 공급업,산업용 XR 솔루션,2023-07-26,12월,하태진,서울특별시
160, 뷰티스킨,406820,기타 화학제품 제조업,"화장품 제조, 브랜드, 유통 사업",2023-07-24,12월,김종수..,인천광역시
161, SK증권제9호스팩,455910,금융 지원 서비스업,기업인수목적회사,2023-07-21,12월,한현석,서울특별시
162, 와이랩,432430,"영화, 비디오물, 방송프로그램 제작 및 배급업",만화출판물의 제작 및 영상물 제작,2023-07-20,12월,심준경,서울특별시
163, 센서뷰,321370,절연선 및 케이블 제조업,"T&M 케이블, 초소형 전송선로",2023-07-19,12월,김병남,경기도
164, 아이엠지티,456570,의료용품 및 기타 의약 관련제품 제조업,치료용 집속초음파 기기,2023-07-19,12월,이학종,경기도
165, 필에너지,378340,특수 목적용 기계 제조업,2차전지 제조장비,2023-07-14,12월,김광일,경기도
166, DB금융스팩11호,456440,기타 금융업,기업인수목적,2023-07-12,12월,김동식,서울특별시
167, 교보14호스팩,456490,금융 지원 서비스업,기업 인수 및 합병,2023-07-06,12월,박상연,서울특별시
168, 이노시뮬레이션,274400,소프트웨어 개발 및 공급업,"스마트 모빌리티 시뮬레이터, XR 가상훈련 시스템 등",2023-07-06,12월,조준희,서울특별시
169, 이브이파킹서비스,419700,기계장비 및 관련 물품 도매업,전기차 충전 솔루션 및 인프라,2023-07-05,12월,"윤성,..",서울특별시
170, 알멕,354320,1차 비철금속 제조업,알루미늄 압출 제품,2023-06-30,12월,신상호,경상남도
171, 오픈놀,440320,소프트웨어 개발 및 공급업,미니인턴플랫폼(커리어 및 채용 플랫폼),2023-06-30,12월,권인택,서울특별시
172, 시큐센,232830,소프트웨어 개발 및 공급업,"디지털 금융 서비스 구축, 모바일 보안솔루션, 생체인증 전자서명",2023-06-29,12월,이정주,서울특별시
173, 하나29호스팩,454640,금융 지원 서비스업,기업인수합병,2023-06-28,12월,윤경순,서울특별시
174, KB제25호스팩,455250,금융 지원 서비스업,기업인수합병,2023-06-23,12월,전현식,서울특별시
175, 엔에이치스팩29호,451700,금융 지원 서비스업,금융 지원 서비스업,2023-06-23,12월,박준우,서울특별시
176, 하이제8호스팩,450050,금융 지원 서비스업,기업인수합병,2023-06-22,12월,정우주,서울특별시
177, 가이아코퍼레이션,296520,생활용품 도매업,"유아용품, 완구, 굿즈",2023-06-20,12월,나원석,경기도
178, 비에이치,090460,전자부품 제조업,FPCB (연성인쇄회로기판),2023-06-20,12월,최영식,인천광역시
179, 동국씨엠,460850,1차 철강 제조업,"냉연강판, 칼라강판",2023-06-16,12월,박상훈,서울특별시
180, 동국제강,460860,1차 철강 제조업,"봉강,형강,후판,냉연강판,칼라강판",2023-06-16,12월,최삼영,서울특별시
181, 프로티아,303360,의료용 기기 제조업,알레르기 진단 제품,2023-06-16,12월,임국진,서울특별시
182, 큐라티스,348080,자연과학 및 공학 연구개발업,"백신 및 면역증강제 개발제조업, CMO/CDMO",2023-06-15,12월,조관구,충청북도
183, 마녀공장,439090,기타 화학제품 제조업,자연주의 기능성 화장품,2023-06-08,12월,유근직,서울특별시
184, 나라셀라,405920,음·식료품 및 담배 도매업,와인 도소매,2023-06-02,12월,마승철,경기도
185, 진영,285800,플라스틱제품 제조업,"가구용 ASA플라스틱 시트, 엣지밴드",2023-06-01,12월,심영수,인천광역시
186, 이수스페셜티케미컬,457190,기초 화학물질 제조업,석유화학제품 및 정밀화학제품,2023-05-31,12월,류승호,서울특별시
187, OCI,456040,기초 화학물질 제조업,"폴리실리콘,타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",2023-05-30,12월,김택중..,서울특별시
188, 기가비스,420770,특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,2023-05-24,12월,강해철,경기도
189, 팸텍,271830,특수 목적용 기계 제조업,"카메라모듈 검사장비, 반도체 검사장비",2023-05-23,12월,김재웅,경기도
190, 모니터랩,434480,소프트웨어 개발 및 공급업,"웹방화벽,유해사이트솔루션,가시성SSL 솔루션, SASE플랫폼기반 SECaaS",2023-05-19,12월,이광후,서울특별시
191, 씨유박스,340810,소프트웨어 개발 및 공급업,"AI얼굴인식 시스템, AI얼굴인증 솔루션, AI 객체인식 솔루션, AI데이터 플랫폼",2023-05-19,12월,남운성,서울특별시
192, 큐라켐,456190,의료용품 및 기타 의약 관련제품 제조업,방사성동위원소 표지화합물 합성,2023-05-18,12월,신숙정,충청북도
193, 키움제8호스팩,446840,금융 지원 서비스업,기업 인수합병,2023-05-17,12월,송현길,서울특별시
194, 트루엔,417790,영상 및 음향기기 제조업,"IP 카메라, 영상스트리밍솔루션, IoT기기 및 서비스",2023-05-17,12월,안재천,서울특별시
195, 삼미금속,012210,기타 금속 가공제품 제조업,상용차/중장비/선박엔진 부품,2023-05-16,12월,이남영,경상남도
196, 에스바이오메딕스,304360,의약품 제조업,줄기세포 치료제 연구 및 개발,2023-05-04,12월,강세일,서울특별시
197, 슈어소프트테크,298830,소프트웨어 개발 및 공급업,소프트웨어 자동화 검증 플랫폼,2023-04-28,12월,배현섭,경기도
198, 토마토시스템,393210,소프트웨어 개발 및 공급업,"UI/UX솔루션, 대학정보화사업 SW",2023-04-27,12월,이상돈,서울특별시
199, 마이크로투나노,424980,반도체 제조업,메모리 테스트용 프로브 카드,2023-04-26,12월,황규호,경기도
200, 셀바이오휴먼텍,318160,기타 섬유제품 제조업,마스크팩 섬유소재(시트),2023-04-20,12월,이권선,경기도
201, SK오션플랜트,100090,1차 철강 제조업,해상풍력 하부구조물,2023-04-19,12월,이승철,경상남도
202, 노보믹스,283100,자연과학 및 공학 연구개발업,위암 예후예측 진단키트,2023-04-19,12월,허용민,서울특별시
203, 삼성FN리츠,448730,부동산 임대 및 공급업,대치타워 및 에스원빌딩,2023-04-10,01월,윤양수,서울특별시
204, 현대그린푸드,453340,종합 소매업,"푸드서비스(단체급식), 식자재유통서비스, 공산품/생식품 유통서비스",2023-04-10,12월,박홍진,경기도
205, 미래에셋비전스팩3호,448830,금융 지원 서비스업,기업인수목적회사(기타금융서비스),2023-04-07,12월,나경수,서울특별시
206, IBKS제22호스팩,448760,금융 지원 서비스업,기업인수 및 합병,2023-04-06,12월,윤별수,서울특별시
207, 하나27호스팩,448370,금융 지원 서비스업,기업인수합병,2023-04-06,12월,김철우,서울특별시
208, 한화갤러리아,452260,종합 소매업,백화점,2023-03-31,12월,김영훈,서울특별시
209, 지아이이노베이션,358570,자연과학 및 공학 연구개발업,면역항암제 및 알레르기 치료제,2023-03-30,12월,이병건..,서울특별시
210, LB인베스트먼트,309960,기타 금융업,중소기업 창업투자,2023-03-29,12월,박기호,서울특별시
211, 한화리츠,451800,부동산 임대 및 공급업,부동산투자,2023-03-27,04월,한화자..,서울특별시
212, 유안타제12호스팩,446150,금융 지원 서비스업,기업인수합병,2023-03-17,12월,장선호,서울특별시
